Day,Start Time,End Time,Subject,Faculty,Class
Monday,09:00,10:00,Statistical Inference and Multivariate Analysis (SIMA),Pending,VY325
Monday,10:00,11:00,Big Data Technologies using Hadoop (BD),Mr. Rahul Ambapkar,VY325
Monday,12:00,14:00,Indian Knowledge System (IKS),,VY526
Tuesday,09:00,10:00,Big Data Technologies using Hadoop (BD),Mr. Rahul Ambapkar,VY325
Tuesday,10:00,11:00,SPSS Programming (SPSS),Dr. Maheshkumar Landge,VY325
Tuesday,12:00,14:00,BD Lab A1,Mr. Rahul Ambapkar,VY406
Wednesday,09:00,10:00,Linear Algebra and Calculus (LA),Ms. Vrushali Kulkarni,VY325
Wednesday,10:00,11:00,Statistical Inference and Multivariate Analysis (SIMA),Pending,VY325
Wednesday,12:00,14:00,BD Lab A2,Mr. Rahul Ambapkar,VY412
Thursday,09:00,10:00,Linear Algebra and Calculus (LA),Ms. Vrushali Kulkarni,VY325
Thursday,10:00,11:00,Big Data Technologies using Hadoop (BD),Mr. Rahul Ambapkar,VY325
Thursday,11:00,12:00,SPSS Programming (SPSS),Dr. Maheshkumar Landge,VY325
Thursday,13:00,15:00,Project-Based Learning II (PBL) A1/A2,Mr. Rahul Ambapkar,
Friday,09:00,10:00,Linear Algebra and Calculus (LA),Ms. Vrushali Kulkarni,VY325
Friday,10:00,11:00,Statistical Inference and Multivariate Analysis (SIMA),Pending,VY325
Friday,11:00,12:00,SPSS Programming (SPSS),Dr. Maheshkumar Landge,VY325
Friday,13:00,15:00,SPSS Lab,Dr. Maheshkumar Landge,VY528
